Feature,N_comparisons,Comparisons,Mean_Log2FC,Min_QValue,Directions
Acutalibacter sp904391645,1,Healthy_vs_HS,-1.420533651740927,0.019087226276206966,Down in case
Agathobacter sp002474415,1,Healthy_vs_Stage_III_IV,-1.5924821652582515,0.017060920180302065,Down in case
Agathobacter sp900552085,1,Healthy_vs_Stage_III_IV,5.5068283218353224,0.01864107447401013,Up in case
BX12 sp014333425,1,Healthy_vs_HS,3.1513182050025814,0.01745543472478463,Up in case
Butyribacter sp003149875,1,Healthy_vs_Stage_III_IV,-3.198503525300028,0.043171261521404145,Down in case
CAG-307 sp001916215,1,Healthy_vs_Stage_III_IV,2.0210179885376003,0.004642923915749635,Up in case
CAG-632 sp900539185,1,Healthy_vs_Stage_III_IV,1.1780164467263599,0.004642923915749635,Up in case
Dysosmobacter avistercoris,1,Healthy_vs_HS,1.9563960904459623,0.04761618095086225,Up in case
Gallacutalibacter pullicola,1,Healthy_vs_HS,-2.161236048522482,0.01687496426326603,Down in case
Haemophilus_D parainfluenzae,1,Healthy_vs_HS,-7.921228984027875,0.01687496426326603,Down in case
Lachnospira sp000436535,1,Healthy_vs_Stage_III_IV,-2.3885080448173794,0.011908146961617076,Down in case
Lachnospira sp900551945,1,Healthy_vs_Stage_III_IV,2.1310456232799413,0.0012087054448180657,Up in case
Lachnospira sp900772425,1,Healthy_vs_Stage_III_IV,1.2406112333961568,0.004642923915749635,Up in case
Lawsonibacter pullicola,1,Healthy_vs_HS,2.2910301938191417,0.03394941930236604,Up in case
Lawsonibacter sp900545895,1,Healthy_vs_HS,6.825380725600557,0.01687496426326603,Up in case
Limiplasma pullicola,1,Healthy_vs_HS,-3.937342015637161,0.049660995571199656,Down in case
Parvimonas sp000214475,1,Healthy_vs_Stage_III_IV,-4.040804579901063,0.0424687576640012,Down in case
Rothia mucilaginosa,1,Healthy_vs_HS,2.8409376537895583,0.030159453199226933,Up in case
Rothia sp001808955,1,Healthy_vs_HS,2.4005946506427236,0.02703574448558526,Up in case
Rothia sp015265375,1,Healthy_vs_HS,1.3802793698371623,0.03394941930236604,Up in case
Scatomorpha pullicola,1,Healthy_vs_HS,-3.779077849526236,0.04761618095086225,Down in case
Schneewindia gallinarum,1,Healthy_vs_HS,-1.6831875549044124,0.03031019851568088,Down in case
