Polyamine,Comparison,CliffsD,Log2FC,QValue,Significant,Direction
Putrescine,Healthy vs Early CRC,0.002,-0.059,0.9834,False,Depleted
Spermidine,Healthy vs Early CRC,-0.071,0.097,0.7571,False,Elevated
Spermine,Healthy vs Early CRC,-0.08,1.783,0.4381,False,Elevated
Agmatine,Healthy vs Early CRC,0.173,-0.033,0.2411,False,Depleted
Cadaverine,Healthy vs Early CRC,-0.071,0.46,0.7571,False,Elevated
Ornithine,Healthy vs Early CRC,-0.06,0.014,0.811,False,Elevated
Arginine,Healthy vs Early CRC,0.057,-0.122,0.8135,False,Depleted
Putrescine,Healthy vs Advanced CRC,0.072,-0.581,0.703,False,Depleted
Spermidine,Healthy vs Advanced CRC,-0.089,-0.036,0.6776,False,Elevated
Spermine,Healthy vs Advanced CRC,-0.058,1.302,0.6511,False,Elevated
Agmatine,Healthy vs Advanced CRC,0.114,0.151,0.577,False,Depleted
Cadaverine,Healthy vs Advanced CRC,-0.05,0.387,0.8038,False,Elevated
Ornithine,Healthy vs Advanced CRC,-0.124,0.293,0.4755,False,Elevated
Arginine,Healthy vs Advanced CRC,-0.001,-0.035,0.9983,False,Elevated
Putrescine,Early CRC vs Advanced CRC,0.062,-0.521,0.9165,False,Depleted
Spermidine,Early CRC vs Advanced CRC,-0.02,-0.132,0.9929,False,Elevated
Spermine,Early CRC vs Advanced CRC,0.024,-0.481,0.9727,False,Depleted
Agmatine,Early CRC vs Advanced CRC,-0.074,0.184,0.8997,False,Elevated
Cadaverine,Early CRC vs Advanced CRC,0.021,-0.073,0.9929,False,Depleted
Ornithine,Early CRC vs Advanced CRC,-0.047,0.279,0.9404,False,Elevated
Arginine,Early CRC vs Advanced CRC,-0.048,0.087,0.9404,False,Elevated
