Polyamine,Species,Mean_SHAP,Rank,CI_lower,CI_upper,Rank_stable
Ornithine,Faecalimonas phoceensis,0.006901939509618968,1,1.0,16.0,False
Ornithine,Lachnospira sp000436535,0.006858549733611281,2,1.0,16.524999999999977,False
Ornithine,Tidjanibacter inops_A,0.004346420465789369,3,1.0,20.0,False
Ornithine,Ventricola sp900542395,0.004062046813524986,4,1.0,20.0,False
Ornithine,Ruminococcus_B gnavus,0.004050730042793771,5,2.0,20.0,False
Ornithine,Anaerotignum faecicola,0.004021200456301985,6,1.0,17.0,False
Ornithine,Faecalibacterium sp900539945,0.004012330481749084,7,1.0,19.0,False
Ornithine,Fusobacterium_A necrogenes,0.0038561916292082503,8,2.0,20.0,False
Ornithine,CAG-177 sp003514385,0.0037139836432585438,9,1.0,20.0,False
Ornithine,Acutalibacter stercoravium,0.003327876140899953,10,1.0,20.0,False
Ornithine,Ruminococcus_B sp900544395,0.003138918965477406,11,2.0,20.0,False
Ornithine,Dialister sp000434475,0.00295657653816551,12,1.0,20.0,False
Ornithine,Enterocloster citroniae,0.0029147027845962663,13,3.0,20.0,False
Ornithine,Collinsella aerofaciens_M,0.0029086744362257287,14,1.0,20.0,False
Ornithine,Faecalibacterium sp900539885,0.0028495218443952658,15,2.0,20.0,False
Ornithine,Akkermansia muciniphila_B,0.0028333658430969686,16,2.0,20.0,False
Ornithine,Blautia_A sp000436615,0.0028248175505582365,17,3.0,20.0,False
Ornithine,Bacteroides faecis,0.0027306032042983862,18,2.0,20.0,False
Ornithine,CAG-177 sp003538135,0.0023815358274748358,19,1.0,20.0,False
Ornithine,CAG-41 sp900066215,0.0023603593011795685,20,3.0,20.0,False
Putrescine,Intestinimonas butyriciproducens,0.01001502990942051,1,1.0,16.0,False
Putrescine,Dysosmobacter sp014297375,0.00945248261571328,2,1.0,19.0,False
Putrescine,Acetatifactor sp003447295,0.008980097597251218,3,1.0,20.0,False
Putrescine,Anaeroglobus micronuciformis,0.00861216430152892,4,1.0,20.0,False
Putrescine,CAG-83 sp000435975,0.00819353896610055,5,1.0,20.0,False
Putrescine,CAG-83 sp001916855,0.007175411429109249,6,1.0,19.0,False
Putrescine,Alistipes communis,0.006986463078367402,7,1.0,20.0,False
Putrescine,Enterenecus sp900549885,0.0066262094552878925,8,2.0,20.0,False
Putrescine,Lawsonibacter asaccharolyticus,0.006338193144215528,9,1.0,19.0,False
Putrescine,UMGS856 sp900546265,0.0062799297094035455,10,1.0,18.524999999999977,False
Putrescine,CAG-170 sp000432135,0.006263027355271449,11,1.0,20.0,False
Putrescine,Acetatifactor intestinalis,0.006177708451727481,12,1.0,19.0,False
Putrescine,ER4 sp003522105,0.005658826400907813,13,2.0,20.0,False
Putrescine,CAG-170 sp900545925,0.005516120577588771,14,2.0,20.0,False
Putrescine,Allisonella histaminiformans,0.005379855629910081,15,2.0,20.0,False
Putrescine,Acetatifactor sp900772845,0.005351526575227848,16,1.0,20.0,False
Putrescine,Lawsonibacter sp900066645,0.0053476840931724655,17,4.0,20.0,False
Putrescine,Clostridium_A leptum,0.005334187963730738,18,1.0,20.0,False
Putrescine,Dysosmobacter sp001916835,0.005327658515526064,19,4.0,20.0,False
Putrescine,Acetatifactor sp900771995,0.005158995205296365,20,2.0,20.0,False
