Species,Metabolite,Rho_species_stage,PVal_species_stage,Rho_metabolite_stage,PVal_metabolite_stage,Rho_spc_mtb,PVal_spc_mtb,QVal_species_stage,QVal_metabolite_stage,QVal_spc_mtb
Fusobacterium_A necrogenes,C01672_Cadaverine,0.0117490609172028,0.8273678947376927,0.0730322216212055,0.1746719749443621,0.2761217842395865,1.7229612427877498e-07,0.9556449574106232,0.5272430699461744,7.597002653332078e-06
Fusobacterium_A necrogenes,C00134_Putrescine,0.0117490609172028,0.8273678947376927,0.0129808843125178,0.8095979578375061,0.3262458074822261,4.768484353651582e-10,0.9556449574106232,0.8710157339493169,4.530350543055096e-08
Fusobacterium_A necrogenes,C00315_Spermidine,0.0117490609172028,0.8273678947376927,0.0946661985586488,0.0782333820790646,-0.0403787095330279,0.4533969798876643,0.9556449574106232,0.3526114272582735,0.6761943485896333
Fusobacterium_A necrogenes,C00750_Spermine,0.0117490609172028,0.8273678947376927,0.0998513536781076,0.0631748545901489,-0.1495978568707558,0.0052322825642746,0.9556449574106232,0.3179121714859107,0.0359512015515698
Fusobacterium_A necrogenes,C00077_Ornithine,0.0117490609172028,0.8273678947376927,0.1190024194074978,0.0266468063528793,0.1392105458156963,0.0094178141191969,0.9556449574106232,0.2598063619405739,0.0554407170790461
Fusobacterium_A necrogenes,C00062_Arg,0.0117490609172028,0.8273678947376927,0.0253556497898318,0.6378586792789491,-0.1556767509200706,0.0036465959989669,0.9556449574106232,0.8256619592551321,0.0274571118615715
Fusobacterium_A mortiferum,C01672_Cadaverine,0.0106331197275902,0.8435427396686109,0.0730322216212055,0.1746719749443621,0.2726770113249104,2.48044309928132e-07,0.958571295077967,0.5272430699461744,1.0396268766466577e-05
Fusobacterium_A mortiferum,C00134_Putrescine,0.0106331197275902,0.8435427396686109,0.0129808843125178,0.8095979578375061,0.3143631537498729,2.133918186027046e-09,0.958571295077967,0.8710157339493169,1.705385435554402e-07
Fusobacterium_A mortiferum,C00315_Spermidine,0.0106331197275902,0.8435427396686109,0.0946661985586488,0.0782333820790646,-0.0395854411704414,0.4623258060705607,0.958571295077967,0.3526114272582735,0.6830813135924879
Fusobacterium_A mortiferum,C00750_Spermine,0.0106331197275902,0.8435427396686109,0.0998513536781076,0.0631748545901489,-0.1414004622150343,0.0083455534472213,0.958571295077967,0.3179121714859107,0.0508437998034259
Fusobacterium_A mortiferum,C00077_Ornithine,0.0106331197275902,0.8435427396686109,0.1190024194074978,0.0266468063528793,0.1283802219428008,0.0167231481146822,0.958571295077967,0.2598063619405739,0.0835675285377162
Fusobacterium_A mortiferum,C00062_Arg,0.0106331197275902,0.8435427396686109,0.0253556497898318,0.6378586792789491,-0.1664818004950316,0.0018597184050982,0.958571295077967,0.8256619592551321,0.0165515786852647
Fusobacterium_A ulcerans,C00134_Putrescine,0.0087936937300331,0.8703448638866487,0.0129808843125178,0.8095979578375061,0.319789373191667,1.0852234756519087e-09,0.9692036346176488,0.8710157339493169,9.346803774026877e-08
Fusobacterium_A ulcerans,C00315_Spermidine,0.0087936937300331,0.8703448638866487,0.0946661985586488,0.0782333820790646,-0.098482888616951,0.0668962979011301,0.9692036346176488,0.3526114272582735,0.2127155008678413
Fusobacterium_A ulcerans,C00750_Spermine,0.0087936937300331,0.8703448638866487,0.0998513536781076,0.0631748545901489,-0.0752902263876768,0.1616847176983017,0.9692036346176488,0.3179121714859107,0.3711967028835182
Fusobacterium_A ulcerans,C00077_Ornithine,0.0087936937300331,0.8703448638866487,0.1190024194074978,0.0266468063528793,0.0804546961081602,0.1347259128389717,0.9692036346176488,0.2598063619405739,0.3319953296015862
Fusobacterium_A ulcerans,C00062_Arg,0.0087936937300331,0.8703448638866487,0.0253556497898318,0.6378586792789491,-0.0780068229116106,0.1470380844259622,0.9692036346176488,0.8256619592551321,0.350497236881152
Fusobacterium_A ulcerans,C01672_Cadaverine,0.0087936937300331,0.8703448638866487,0.0730322216212055,0.1746719749443621,0.2429173785835403,4.70641205125201e-06,0.9692036346176488,0.5272430699461744,0.0001295799999991
Fusobacterium_A ulcerans_A,C01672_Cadaverine,-0.0074729926891155,0.8896824219937337,0.0730322216212055,0.1746719749443621,0.2143097371845718,5.707213817197326e-05,0.9710289230866076,0.5272430699461744,0.0010285599504524
Fusobacterium_A ulcerans_A,C00315_Spermidine,-0.0074729926891155,0.8896824219937337,0.0946661985586488,0.0782333820790646,-0.1049094537441185,0.0508686372820143,0.9710289230866076,0.3526114272582735,0.1786632613471325
Fusobacterium_A ulcerans_A,C00134_Putrescine,-0.0074729926891155,0.8896824219937337,0.0129808843125178,0.8095979578375061,0.2988702963239107,1.3664969360708311e-08,0.9710289230866076,0.8710157339493169,8.520124781256979e-07
Fusobacterium_A ulcerans_A,C00062_Arg,-0.0074729926891155,0.8896824219937337,0.0253556497898318,0.6378586792789491,-0.0673812782935713,0.2105449019355056,0.9710289230866076,0.8256619592551321,0.4344347481871181
Fusobacterium_A ulcerans_A,C00077_Ornithine,-0.0074729926891155,0.8896824219937337,0.1190024194074978,0.0266468063528793,0.0932612977547807,0.0827798529508929,0.9710289230866076,0.2598063619405739,0.2445823842620018
Fusobacterium_A ulcerans_A,C00750_Spermine,-0.0074729926891155,0.8896824219937337,0.0998513536781076,0.0631748545901489,-0.0718567416044079,0.1817324455525995,0.9710289230866076,0.3179121714859107,0.3985360648083322
