Feature,MeanGroup1,MeanGroup2,Log2FC,Statistic,PValue,CliffsD,QValue,Significant,Stage,FallbackP,Direction,IsPolyamine,Polyamine_Name
"C01026_N,N-Dimethylglycine",-0.7702334770573731,0.1431917531803791,3.0343329349057466,6064.0,0.0008181568670699319,-0.2420947381577303,0.07031451036435692,False,Early_CRC,True,Elevated,False,
C00438_Carbamoylaspartate,-3.7076638205703336,-2.0849372586111707,5.390580956492121,4772.0,0.0035334992573735576,-0.20053610319986592,0.1849197944692162,False,Advanced_CRC,True,Elevated,False,
C01425_Glu-Glu,-2.125287940270581,-0.6558528390422508,4.881357746384046,4806.0,0.011025127873743204,-0.19484000670128998,0.21636813452221035,False,Advanced_CRC,True,Elevated,False,
C00864_Pantothenate,-1.9031304596405685,-0.7536974125018695,3.8183339324820333,4812.0,0.010914709858287724,-0.19383481320154128,0.21636813452221035,False,Advanced_CRC,True,Elevated,False,
C02567_N1-Acetylspermine,-4.779050430810364,-3.5388645886809544,4.119808191851229,6522.5,0.0009426748580270176,-0.18478940132483435,0.07031451036435692,False,Early_CRC,True,Elevated,False,
C00093_Glycerophosphate,-1.5567712282394754,-0.45515439016388043,3.659491924204301,4905.0,0.01895645549633432,-0.17825431395543645,0.22070451736198568,False,Advanced_CRC,True,Elevated,False,
C04501_N-Acetylglucosamine 1-phosphate,0.4818313016678078,0.6837433081338965,0.6707371669747788,4923.0,0.02575146073118434,-0.17523873345619034,0.22070451736198568,False,Advanced_CRC,True,Elevated,False,
C00191_Glucuronate,-2.7712365974696844,-1.4238653632157812,4.475870357311103,4974.0,0.020009623050303824,-0.16669458870832632,0.22070451736198568,False,Advanced_CRC,True,Elevated,False,
C03570_Mannosamine,-3.0193453438486455,-4.644046929743518,-5.39714184399223,7250.5,0.00080494768448652,0.21469257832132693,0.06318839323219182,False,Advanced_CRC,True,Depleted,False,
C01046_N-Methylglutamate,-0.6368918926568313,-2.005587491454414,-4.54670836299437,7184.0,0.008326902366502619,0.20355168369911203,0.21636813452221035,False,Advanced_CRC,True,Depleted,False,
C00630_Isobutyryl CoA,-1.0828217127060475,-2.4590352775235624,-4.571682505532393,9624.5,0.0036849309422475655,0.20291213598300217,0.14463353948321694,False,Early_CRC,True,Depleted,False,
C05584_4-Hydroxy-3-methoxymandelate,-3.3788903499065377,-4.924472776128426,-5.134313684630665,7169.0,0.0007113977447761536,0.20103869994974022,0.06318839323219182,False,Advanced_CRC,True,Depleted,False,
"C00628_2,5-Dihydroxybenzoate",-2.641115677452167,-4.046755592659064,-4.6694347256208815,9565.0,0.001343589370019559,0.19547556555430567,0.07031451036435692,False,Early_CRC,True,Depleted,False,
C00003_NAD+,1.2961070637280054,0.4030732542925381,-2.9665941012479653,9563.5,0.007053182076653566,0.1952880889888764,0.22146991720692197,False,Early_CRC,True,Depleted,False,
C02115_Alpha-Methylserine,0.28699059212124634,-0.6525118126438981,-3.1209594336035718,7091.0,0.016518534238079877,0.1879711844530072,0.22070451736198568,False,Advanced_CRC,True,Depleted,False,
