species,genus,mean_shap
UBA5905 sp900763035,UBA5905,0.006934324812053036
Aphodousia sp900553105,Aphodousia,0.006214410474279394
UMGS687 sp900545735,UMGS687,0.0059059624849821905
Scatavimonas merdipullorum,Scatavimonas,0.00399325908804678
Pauljensenia turicensis,Pauljensenia,0.003710037522202009
UMGS693 sp900544555,UMGS693,0.003447151351686885
Bilophila wadsworthia,Bilophila,0.0030347936220121944
Alistipes shahii,Alistipes,0.0027111597611143875
CAG-170 sp000432135,CAG-170,0.00269815714957389
Avispirillum faecium,Avispirillum,0.0024789422410149368
Aphodousia sp905212345,Aphodousia,0.002405483380384891
Acutalibacter sp910580045,Acutalibacter,0.002389442790846009
Clostridium_A leptum,Clostridium,0.002217790399122976
Lachnospira sp000436475,Lachnospira,0.002184807026651563
Leptotrichia_A sp001274535,Leptotrichia,0.0021812285905712914
Erysipelatoclostridium ramosum,Erysipelatoclostridium,0.0019488223917403724
Egerieicola pullicola,Egerieicola,0.0019355485898028325
Alistipes avistercoris,Alistipes,0.0018808969954025698
CCUG-7971 sp017590215,CCUG-7971,0.00181554369798412
Neisseria subflava,Neisseria,0.001774340776872024
Lactobacillus amylolyticus,Lactobacillus,0.0016452078141854488
Spyradocola merdavium,Spyradocola,0.0016355088396484499
Leptotrichia wadei,Leptotrichia,0.001611552164250842
Veillonella parvula_A,Veillonella,0.0016103739007719282
CAG-83 sp000435555,CAG-83,0.0015675617659247866
UBA1829 sp900548385,UBA1829,0.0015179555689653085
Sediminibacterium sp902168225,Sediminibacterium,0.0014890922727064835
Fusobacterium sp000235465,Fusobacterium,0.0014405657421719146
Cupidesulfovibrio vulgaris_A,Cupidesulfovibrio,0.001437759078229873
Alangreenwoodia gallinarii,Alangreenwoodia,0.0014217849408635602
UBA1685 sp900546845,UBA1685,0.0013950555285543623
Clostridium disporicum,Clostridium,0.0013928141360764494
Evtepia excrementipullorum,Evtepia,0.0013515427703093249
Streptococcus parauberis,Streptococcus,0.001351111352878924
Clostridium saudiense,Clostridium,0.0013139540408287668
Brachyspira aalborgi,Brachyspira,0.0012885547102770708
Klebsiella ornithinolytica,Klebsiella,0.0012717560875265379
Clostridium butyricum,Clostridium,0.0012626986173014925
Escherichia coli,Escherichia,0.0012532446151660476
Fusobacterium_A ulcerans_A,Fusobacterium,0.001244166821005557
UMGS902 sp003343845,UMGS902,0.0012401352420479282
Meiothermus_B silvanus,Meiothermus,0.0012158312036950809
Veillonella atypica,Veillonella,0.0011026753232093074
Sutterella wadsworthensis,Sutterella,0.0010700379882308552
CAG-103 sp900757655,CAG-103,0.001056778753264688
Intestinibacter sp900540355,Intestinibacter,0.001051536389177282
Alistipes_A indistinctus,Alistipes,0.001051525232853315
Alistipes onderdonkii,Alistipes,0.001050173253267482
Bifidobacterium longum,Bifidobacterium,0.0010339913126395592
UBA3818 sp904397845,UBA3818,0.0010145480921770226
