Feature,Mean_SHAP
Blautia sp900541955,0.12860528649328973
Prevotella sp000434975,0.12030273193025157
Bacteroides ovatus,0.1198884671199154
Escherichia coli,0.11797954566461052
Prevotella sp900771975,0.11688709061894448
Anaerotignum faecicola,0.11642323880174912
Bacteroides sp002491635,0.10830151540186861
Lawsonibacter sp900754605,0.10488026132376976
Dorea_A longicatena_B,0.10046206120859988
Clostridium saudiense,0.09791149596701607
KLE1615 sp900066985,0.09605872058535356
Phocaeicola plebeius_A,0.09604382862250607
Phocaeicola plebeius,0.09584907277190924
Gemmiger formicilis,0.09570479126849898
Prevotella lascolaii,0.09303446494977756
Eubacterium_G sp000434315,0.09293220749223084
Bacteroides sp900552405,0.09186720004099136
CAG-103 sp900757655,0.09175142030767285
Bacteroides sp900765785,0.08964590847198187
Phocaeicola sp002493165,0.08924943748314074
